"","pull_request","number_of_commits","number_of_comments","number_of_reviews","user_type","user_login","merged_at","number_of_additions","number_of_deletions","number_of_files_changed","number_of_days","message","number_of_characters","second_line_is_blank","language","number_of_test_files"
"184",15498,7,6,0,"Externals","MoritzKn","2018-01-10T18:50:24Z",124,61,3,133,"### Description of the Change

* Some refactoring on the install script (mainly on the linux part) (1.-3. commit).
* Change the install script to create a separate installation for the dev channel (`atom-dev`) like it is already done for the beta channel (`atom-beta`) (4. commit).
* Change the way icons are handled in the xdg desktop file. This replaces the absolute path used previously with a icon name. The name will then be interpreted by the desktop environment, which in turn selects the icon from a icon theme. This is also how the desktop files in the dep and rpm packages already work. (5. commit).
* Change the install script to copy the application icons (in all resolutions) to the default icon theme. This is required to make to point above work when no alternative icon theme is used or the alternative icon theme does not provide an icon. (5. commit).

### Alternate Designs

None

### Why Should This Be In Core?

* Refactors core code.
* The beta channel is already installed in parallel so the dev channel should be too.
* The new way desktop files are handled is more ""linuxy"" and preferable as default.

### Benefits

* Cleaner code
* Allows all channels to be installed in parallel.
* Users are able to use alternative icon themes with atom; makes atom more hackable.
* The desktop environment gets to choose between different resolutions.
* Aligns the way the manually installed version behaves with the what is installed from a package.

### Possible Drawbacks

None known

### Applicable Issues

* Perhaps fix #12993 (icon scaling issue).
* Fixes icon behavior mentioned in #14480 (wrong icon path). This is fixed with the 2. commit and with the alternative design from the 5. commit.",1742,"True","en",0
"267",15081,1,13,7,"Externals","mortenpi","2017-12-18T00:52:21Z",9,3,1,146,"**What problems does this solve?** Let's assume I have two `$ATOM_HOME` directories `A/` and `B/`, with different packages, themes etc. Currently, if I start Atom in the following way

```bash
$ ATOM_HOME=A/ atom
$ ATOM_HOME=B/ atom
```
the second one opens up a new Atom window, but uses packages etc. from `A/`, which feels counter-intuitive. Instead I propose that instances would be per `$ATOM_HOME`. On Linux this can be achieved by having sockets be per-`$ATOM_HOME` it seems.

This would be helpful for IDEs (e.g. [Juno](http://junolab.org/)) which load a lot of IDE-specific features and UI components. With this PR you could simply have a `juno` ""executable"" that wraps around an existing Atom installation, but does not interfere with normal Atom usage:

```sh
#!/bin/sh
export ATOM_HOME=$HOME/.juno
exec atom $@
```

**How does it solve it?** This PR puts the socket into `$ATOM_HOME`, instead of `os.tmpdir()`.

I've been running `1.20.0-dev` with this change for a week or so now and it has been working fine so far. But I'm not sure whether this particular PR is the best solution.

Also, it is Linux-specifc (and macOS?). I can't test this on macOS, nor provide a solution for Windows. If someone could provide a more complete solution I'd be happy if this PR would be superseded.

**Drawbacks/alternatives.** I don't see this affecting normal Atom usage in any way.

In case sockets have to be under `os.tmpdir()` (due to potential filesystem permission issues or something like that?), then an alternative would be to have a `abspath(process.env.ATOM_HOME)`-dependent piece in the socket name, where `abspath` would resolve any relative paths etc.",1688,"True","en",0
"288",14931,8,21,2,"Externals","UziTech","2018-01-09T13:12:46Z",37,11,2,192,"### Description of the Change

adds an `atom.commands.onDidFinish` function that is called after commands actually finish.

This will require commands that are asynchronous to return a promise so onDidFinish can know when a command is still working asynchronously.

### Alternate Designs

This comes from trying to return a commands value in #14720 

I decided to go with a `did-finish` event to keep backwards compatibility and use the event emitter already attached to `atom.commands`

This event is emitted once `Promise.all` on the return values of the command listeners finishes. Therefore it will be emitted when all listeners are resolved or one listener is rejected. And only the dispatched event is provided. A couple things could be changed here:

- We could wait until all listeners are resolved or rejected.
- We could emit a different event if rejected.
- We could include the returned values of the commands.

### Why Should This Be In Core?

It requires changes to the command registry and package creators to return a promise if the command is async.

### Benefits

- Ability to tell when an async command actually finishes.
- Ability to dispatch commands in series.

### Possible Drawbacks

Package creators will need to come on board for this to be very usefull

### Applicable Issues

#13195
",1345,"True","en",0
"323",14654,2,2,0,"Externals","UziTech","2017-09-20T20:07:46Z",4,1,1,117,"### Description of the Change

Updated atom.confirm documentation to include what happens if dialog is closed without selecting an option

### Possible Drawbacks

I'm not 100% sure this is correct on all OSes 

I had to do quite a bit of experimentation on Windows to figure out all the edge cases.

Most of the information I got from the [dialog.showMessageBox](https://github.com/electron/electron/blob/master/docs/api/dialog.md#dialogshowmessageboxbrowserwindow-options-callback) documentation but there seems to be quite a few differences between Oses

<!-- What are the possible side-effects or negative impacts of the code change? -->
",654,"True","en",0
"332",14495,4,13,3,"Externals","warrenpnz","2017-09-12T18:32:42Z",41,5,5,116,"### Description of the Change

This change enables the maximum softWrapColumn in the display layer object to be set using a configuration parameter rather than using the MAX_SCREEN_LINE_LENGTH constant. This value is returned by the getSoftWrapColumn function.

The default and minimum is still set at 500 to satisfy the design decision to address performance issues for those opening minified files, however it can be adjusted upwards for those who require a more flexible option.

### Alternate Designs

As the getSoftWrapColumn function used a constant as the default return value, there are no alternate design options.

### Why Should This Be In Core?

This needs to be in core as it is affecting the editor display layer parameters directly 

### Benefits

Benefits are that the number of people who work with long line files that are not necessarily minified are able to customise their maximum width by the settings editor instead of using the constant value

### Possible Drawbacks

Possible drawbacks are that a user sets the width high enough to cause performance issues with minified files, however this can be mitigated by reverting the setting to defaults in the editor settings

### Applicable Issues

* https://discuss.atom.io/t/atom-editor-line-length-wraps-at-500-chars-on-1-15/40589/3
* https://discuss.atom.io/t/1-14-1-16-is-forcing-a-line-wrap-even-with-soft-wrap-toggled-off/41758/4
* https://discuss.atom.io/t/how-do-i-turn-off-soft-wrap/40417/11

Related to: https://github.com/atom/atom/pull/13820
",1552,"True","en",0
"460",13731,1,8,0,"Externals","Ingramz","2017-10-26T16:43:02Z",1,1,1,265,"Just a friendly reminder to occasionally update coffee-script.

Allows new syntax to be used and also provides better source maps.

After merging, make sure to clear compile-cache for updated source maps to take effect.

Changelogs can be found at http://coffeescript.org/#1.12.0 and then by scrolling up.",311,"True","en",0
"464",13691,21,10,9,"Externals","50Wliu","2017-05-31T01:17:08Z",197,186,33,126,"### Requirements

* Filling out the template is required. Any pull request that does not include enough information to be reviewed in a timely manner may be closed at the maintainers' discretion.
* All new code requires tests to ensure against regressions

### Description of the Change

Removes a restriction that prevented people from trying to build Atom using Node 7+.  Now that apm has been updated this should work again.
In addition, I fixed a potential bug where `stdout` was being declared as a constant but then being reassigned.  I'm not sure this would work; even if it did, it's best that it's rewritten to be a `let` instead.

### Alternate Designs

None.

### Why Should This Be In Core?

Already in core.

### Benefits

More supported Node versions when building.

### Possible Drawbacks

None.

### Applicable Issues

None.

If CI is green, I will revert the CI changes and :boat:.",928,"True","en",0
"487",13597,1,0,0,"Externals","Ingramz","2017-10-20T20:30:52Z",5,2,3,281,"When detecting grammar to use, the grammar scoring system's bundled/not bundled criteria should be lower priority than first line match. This would enable the use case where user installed grammar intentionally hands over the victory to bundled grammar based on first line match. If the two grammars were equal in terms of first line match, they would be still judged by bundled/non bundled, thus not breaking old intended behavior.

Cases where grammar relied on being a non bundled package, we'll have to at least copy the firstLineMatch of the bundled grammar or have a better one if the bundled package had one. This will be useful in the future nonetheless.

For more details, see https://github.com/atom/first-mate/issues/85",734,"True","en",0
"589",12946,2,2,0,"Externals","jamsinclair","2017-05-13T22:00:47Z",17,1,2,214,"## Bug

Fixes the bug described in issue #11848

![move-line-up-bug](https://cloud.githubusercontent.com/assets/5964236/19289643/31871060-9068-11e6-89ad-055e0d2bb5d5.gif)
## Fix

From what I explored it looks like a previous dev has tried to fix this bug. Although because rows are 0 indexed, to select the penultimate row for the range it requires using `-2`. 

I wonder whether it's worth rewriting the line:

``` coffeescript
lines += '\n' unless lines[lines.length - 1] is '\n'
```

I've attempted to add a valid test. Suggestions to improve or better represent the test welcome 😸 

![move-line-up-fix](https://cloud.githubusercontent.com/assets/5964236/19289650/3aee8e58-9068-11e6-8fc9-9066c1306ebb.gif)
",712,"True","en",0
"614",12783,2,3,0,"Externals","vedharish","2018-01-09T00:00:25Z",36,0,2,469,"Closes Issue #12744 

New behaviour can be seen from this screen cast

![screen cast](https://cloud.githubusercontent.com/assets/2497481/18846601/581b4bd6-8444-11e6-9b03-23ada04530af.gif)
",188,"True","en",0
