"","pull_request","number_of_commits","number_of_comments","number_of_reviews","user_type","user_login","merged_at","number_of_additions","number_of_deletions","number_of_files_changed","number_of_days","message","number_of_characters","second_line_is_blank","language","number_of_test_files"
"58",3811,4,4,0,"Externals","DoctorWhoof","2018-01-11T09:23:55Z",412,0,4,128,"These compile with the latest Monkey2 release (V1.1.06).

Don't know how to add a Public Domain license, but I made those from scratch so, yes, they're public domain.",166,"True","en",0
"107",3648,7,22,0,"Externals","MaickelHubner","2017-10-14T17:12:17Z",240,0,3,141,"",0,"False","en",1
"175",3466,1,24,0,"Externals","jlec","2017-06-26T08:07:37Z",30,0,2,135,"The hpcugent/easybuild-framework is a python framework for installation of applications on HPC envirnments. The actual package build description are written in python but having _.eb_ as extension.",197,"False","en",0
"297",3145,2,39,5,"Externals","MartinNowak","2017-03-30T17:25:54Z",663,3,10,236,"- properly recongnize dtrace probes
- recongnize \ in Makefile paths
- recongnize single line `file.ext : dep.ext` make targets
- recognize D module, import, function, and unittest declarations
- add more representative D samples

`rake benchmark:compare`
D changed from 31.2% to 28.1%
DTrace changed from 33.5% to 32.5%
Makefile changed from 35.3% to 39.4%

diff of `rake benchmark:generate`
https://gist.github.com/MartinNowak/6fba5aed9401dba4d4bfd7969a168c61 (URLs relative to github.com/)
- no misclassifications except for 2 /etc/init.d shell scripts

see https://gist.github.com/MartinNowak/fda24fdef64f2dbb05c5a5ceabf22bd3 for the scraper used to get test corpora for D, DTrace, and Makefile with `extension:d`.
- corpus had ~276K lines (~22MiB) from 3K files
- had to filter out lots of .d files from the binutils testsuite (apparently references file diff tests)",871,"False","en",2
"298",3142,17,17,12,"Externals","Crissov","2016-12-06T02:50:05Z",50,4,6,123,"- Text: ← filenames: FONTLOG http://scripts.sil.org/cms/scripts/page.php?item_id=OFL-FAQ_web#43cecb44
- OpenType: ← extensions: .fea https://www.adobe.com/devnet/opentype/afdko/topic_feature_file_syntax.html
- Spline Font: ← extensions: .sfd http://fontforge.github.io/en-US/documentation/developers/sfdformat/
",317,"False","ps",0
"311",3092,1,6,0,"Externals","pchaigno","2016-11-01T11:18:18Z",9,0,1,124,"This pull request adds Python console highlighting, as discussed in #1939.

The goal is to enable Python console highlighting in Markdown documents and comments with the `pycon` identifier. Thus, the entry in `languages.yml` doesn't define extensions or filenames.

[Here is an example of the result in Lightshow](https://github-lightshow.herokuapp.com/?utf8=%E2%9C%93&scope=from-url&grammar_url=https%3A%2F%2Fgithub.com%2Fatom%2Flanguage-python%2Fblob%2Fmaster%2Fgrammars%2Fpython-console.cson&grammar_text=&code_source=from-text&code_url=&code=%3E%3E%3E++try%3A%0D%0A...+++++from+io+import+StringIO%0D%0A...+except+ImportError%3A%0D%0A...+++++from+StringIO+import+StringIO).
",677,"True","en",0
"428",2843,5,21,1,"Internals","bkeepers","2016-10-28T04:24:06Z",20,0,4,252,"This is an update to https://github.com/github/linguist/pull/2620 that only treats `.go` files in `vendor` as generated.

I'm not a gopher, so one question I have about go 1.6: does it vendor non-`.go` files as well? If it does, then this won't work.

/cc @kr @rakyll @cespare @parkr @arfon 
",292,"True","en",2
"455",2773,1,24,0,"Externals","nixel2007","2016-08-19T16:12:49Z",864,0,11,246,"Hi there!

I would like to add 1C:Enterprise 8 (BSL) language.
1C:Enterprise is a very commonly used platform for automating a company’s financial and wider operational activities in CIS.  
Official site (english version): http://1c-dn.com/1c_enterprise/what_is_1c_enterprise/
Russian version: http://v8.1c.ru/

As a grammar i used [this](https://github.com/xDrivenDevelopment/atom-language-1c-bsl) Atom package developed by me as a part of [xDrivenDevelopment community](https://github.com/xDrivenDevelopment).

1C:Enterprise uses many file extensions. The main ones are `.bsl` for modules and `.xml` for metadata and config-stuff (actually it's an XML files). Those extensions were introdused this autumn, so it's not so much search results (so far) [link](https://github.com/search?l=&q=%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D0%B4%D1%83%D1%80%D0%B0+extension%3A.bsl&ref=advsearch&type=Code&utf8=%E2%9C%93), but the number of repos will grow fast.

`.os` extenstion used by external scripts written in 1C (BSL) language as part of `OneScript` project (no english link, sorry. [russian one](http://oscript.io/)). 

Samples are included for bsl and os.
",1148,"True","en",1
"469",2735,8,10,2,"Externals","tschf","2017-04-26T18:03:02Z",69,0,3,522,"I recently converted the Oracle text mate bundle [[1](https://github.com/mulander/oracle.tmbundle)] to an Atom grammar [[2](https://atom.io/packages/language-oracle)]. As such, I thought it would be good to also bring all the related extensions that have been introduced, into linguist, for the Oracle PL/SQL language.

Below is the list of extensions identified along with the number of results when searching that extension in GitHub with the string `create or replace` which is common in any database object.
- bdy - 732 entries [[3](https://github.com/search?p=1&q=%22create+or+replace%22+extension%3Abdy&ref=searchresults&type=Code&utf8=%E2%9C%93)]
- spc - 748 entries [[4](https://github.com/search?utf8=%E2%9C%93&q=%22create+or+replace%22+extension%3Aspc&type=Code&ref=searchresults)]
- trg - 1489 entries [[5](https://github.com/search?utf8=%E2%9C%93&q=%22create+or+replace%22+extension%3Atrg&type=Code&ref=searchresults)]
- tps - 193 entries [[6](https://github.com/search?p=19&q=%22create+or+replace%22+extension%3Atps&ref=searchresults&type=Code&utf8=%E2%9C%93)]
- vw - 1317 entries [[7](https://github.com/search?utf8=%E2%9C%93&q=%22create+or+replace%22+extension%3Avw&type=Code&ref=searchresults)]
- fnc - 654 entries [[8](https://github.com/search?utf8=%E2%9C%93&q=%22create+or+replace%22+extension%3Afnc&type=Code&ref=searchresults)]

The extensions `ddl` and `prc` both with an existing mapping to `SQL`, but I feel should also have cases where they are mapped to PL/SQL - it seems `create`, `replace` for example aren't syntax highlighted in the phrase `create or replace`. Example case - https://github.com/gordynor/Demo/blob/0ddb72599c26b935d5731cf2d5e9680f6ac73c5a/sql/test.prc
- ddl - 417 entries [[9](https://github.com/search?p=41&q=%22create+or+replace%22+extension%3Addl&ref=searchresults&type=Code&utf8=%E2%9C%93)].
- prc - 21777 entries [[10](https://github.com/search?utf8=%E2%9C%93&q=%22create+or+replace%22+extension%3Aprc&type=Code&ref=searchresults)]

I added opposing samples in the samples directory for `prc` and `ddl` which contain a `create or replace` statement. https://github.com/tschf/linguist/tree/master/samples/PLSQL. Is this sufficient?

The other extension added to the grammar was `dml`. Upon searching with phrases like `create or replace` (only 5 code files - expected to be low, since it's DML) or `insert into` (still only 99 code entries). As such left this one out.

The contributing guide states that extensions should be in use in hundreds of repositories, so I'm not sure if the above analysis means the majority of these extensions fail that requirement or not.

Also, the contributing guidelines mention about testing the performance of the Bayesian classifier. I wasn't really sure where to begin with this?
",2767,"True","en",0
"511",2613,12,9,7,"Externals","ghost","2016-01-22T01:10:36Z",21,6,1,142,"These are effected languages and the reason behind the proposed colors:
- Ant Build System: The color of logo (http://ant.apache.org/images/project-logo.gif).
- AppleScript: AppleScript editor logo (https://en.wikipedia.org/wiki/AppleScript#/media/File:AppleScript_Editor_Logo.png).
- Batchfile: Batch file icon in Windows (https://en.wikipedia.org/wiki/Batch_file#/media/File:Batch_file_icon_in_Windows_Vista.png).
- Bison: A color taken from a bison (https://en.wikipedia.org/wiki/Bison#/media/File:Americanbison.jpg).
- Cucumber: Official logo color (https://cucumber.io/images/cucumber-logo.svg).
- Cuda: Nvidia(creator of CUDA) logo color (http://www.nvidia.com/content/includes/redesign2010/images/redesign10/nvidia_logo.png).
- Gradle: Official Gradle logo color (https://gradle.org/wp-content/uploads/2015/03/GradleLogoReg.png).
- Hack: Hack logo color (http://hacklang.org/wp-content/themes/hack/hack.png).
- Haml: Haml logo color (http://haml.info/images/haml.png).
- LLVM: Eye color of the dragon logo of LLVM (http://llvm.org/img/DragonMedium.png).
- Less: Less logo color (http://lesscss.org/public/img/logo.png).
- Markdown: The Daring Fireball logo color (http://daringfireball.net/graphics/logos/).
- Maven POM: The maven logo color (https://en.wikipedia.org/wiki/Apache_Maven#/media/File:Maven_logo.svg).
- Nginx: The nginx logo color (http://nginx.org/nginx.png).
- NumPy: The NumPy logo color (http://www.numpy.org/_static/numpy_logo.png).
- RDoc: I couldn'd find any logo, so have used the color of the name of RDoc in the official site (http://docs.seattlerb.org/rdoc/).
- SCSS: The Sass logo color (http://sass-lang.com/assets/img/logos/logo-b6e1ef6e.svg).
- Sass: The Sass logo color (http://sass-lang.com/assets/img/logos/logo-b6e1ef6e.svg).
- XML: A random color.
- XSLT: A random color.
- YAML: The color of the name of YAML in the official site (http://yaml.org/).
- Yacc: A random color.
- reStructuredText: The official logo color (http://docutils.sourceforge.net/rst.png).
",2003,"False","en",0
